50-sparse-2.html:30 -	time	id	type	x	y
50-sparse-2.html:128 -	230	14	1	117.89000000000004	113.71499999999995
50-sparse-2.html:128 -	230	15	1	4.134328358208954	42.87562189054728
50-sparse-2.html:128 -	230	16	1	72.31343283582095	12.144278606965175
50-sparse-2.html:128 -	230	17	1	63.74257425742573	73.9455445544555
50-sparse-2.html:128 -	230	18	1	31.144278606965187	53.34328358208955
50-sparse-2.html:128 -	230	19	1	94.33830845771148	145.41791044776113
50-sparse-2.html:128 -	230	20	1	9.608910891089106	14.95049504950495
50-sparse-2.html:128 -	230	21	1	18.880597014925378	85.1840796019901
50-sparse-2.html:128 -	230	22	1	118.64676616915423	4
50-sparse-2.html:128 -	230	23	1	38.64532019704431	148.57142857142858
50-sparse-2.html:128 -	230	24	1	51.742574257425716	143.0297029702971
50-sparse-2.html:128 -	230	25	1	103.44776119402984	121.69154228855722
50-sparse-2.html:128 -	230	26	1	5.587064676616917	30.119402985074622
50-sparse-2.html:128 -	230	27	1	58.47783251231525	114.38423645320198
50-sparse-2.html:128 -	230	28	1	129.99004975124382	75.94527363184083
50-sparse-2.html:128 -	230	29	1	45.32673267326733	61.77227722772276
50-sparse-2.html:128 -	230	30	1	39.79500000000001	8.019999999999994
50-sparse-2.html:128 -	230	31	1	49.633663366336656	84.37623762376238
50-sparse-2.html:128 -	230	32	1	83.20792079207921	1.8514851485149961
50-sparse-2.html:128 -	230	33	1	56.30198019801984	9.584158415841586
50-sparse-2.html:128 -	230	34	1	135.7772277227723	117.23267326732665
50-sparse-2.html:128 -	230	35	1	24.599009900990094	46.316831683168296
50-sparse-2.html:128 -	230	36	1	103.00990099009901	94.00990099009898
50-sparse-2.html:128 -	230	37	1	32.75742574257427	126.37623762376232
50-sparse-2.html:128 -	230	38	1	124.0841584158416	52.68316831683171
50-sparse-2.html:128 -	230	39	1	10.738916256157637	54.71428571428569
50-sparse-2.html:128 -	230	40	1	42.74752475247526	121.65346534653465
